Province_Name,Province_ID,District_Name,District_ID,Sector_Name,Sector_ID,Cell_Name,Cell_ID,Village_Name,Villade_ID
Iburengerazuba,03,Rutsiro,0302,Boneza,030201,Kabihogo,03020102,Rugamba,0302010205
Iburengerazuba,03,Rutsiro,0302,Boneza,030201,Kabihogo,03020102,Rwabisururu,0302010206
Iburengerazuba,03,Rutsiro,0302,Boneza,030201,Nkira,03020103,Gisiza,0302010301
Iburengerazuba,03,Rutsiro,0302,Boneza,030201,Nkira,03020103,Gisoro,0302010302
Iburengerazuba,03,Rutsiro,0302,Boneza,030201,Nkira,03020103,Kabuga,0302010303
Iburengerazuba,03,Rutsiro,0302,Boneza,030201,Nkira,03020103,Karukamba,0302010304
Iburengerazuba,03,Rutsiro,0302,Boneza,030201,Nkira,03020103,Kigarama,0302010305
Iburengerazuba,03,Rutsiro,0302,Boneza,030201,Nkira,03020103,Munanira,0302010306
Iburengerazuba,03,Rutsiro,0302,Boneza,030201,Nkira,03020103,Murambi,0302010307
Iburengerazuba,03,Rutsiro,0302,Boneza,030201,Remera,03020104,Bigabiro,0302010401
Iburengerazuba,03,Rutsiro,0302,Boneza,030201,Remera,03020104,Buhoro,0302010402
Iburengerazuba,03,Rutsiro,0302,Boneza,030201,Remera,03020104,Kaganza,0302010403
Iburengerazuba,03,Rutsiro,0302,Boneza,030201,Remera,03020104,Kamuzigura,0302010404
Iburengerazuba,03,Rutsiro,0302,Boneza,030201,Remera,03020104,Kinunga,0302010405
Iburengerazuba,03,Rutsiro,0302,Boneza,030201,Remera,03020104,Muyange,0302010406
Iburengerazuba,03,Rutsiro,0302,Boneza,030201,Remera,03020104,Rusororo,0302010407
Iburengerazuba,03,Rusizi,0306,Bugarama,030601,Nyange,03060101,Cité,0306010101
Iburengerazuba,03,Rusizi,0306,Bugarama,030601,Nyange,03060101,Cyagara,0306010102
Iburengerazuba,03,Rusizi,0306,Bugarama,030601,Nyange,03060101,Gatebe,0306010103
Iburengerazuba,03,Rusizi,0306,Bugarama,030601,Nyange,03060101,Kabeza,0306010104
Iburengerazuba,03,Rusizi,0306,Bugarama,030601,Nyange,03060101,Kamabuye,0306010105
Iburengerazuba,03,Rusizi,0306,Bugarama,030601,Nyange,03060101,Mihabura,0306010106
Iburengerazuba,03,Rusizi,0306,Bugarama,030601,Nyange,03060101,Misufi,0306010107
Iburengerazuba,03,Rusizi,0306,Bugarama,030601,Nyange,03060101,Mubogora,0306010108
Iburengerazuba,03,Rusizi,0306,Bugarama,030601,Nyange,03060101,Muko,0306010109
Iburengerazuba,03,Rusizi,0306,Bugarama,030601,Nyange,03060101,Munini,0306010110
Iburengerazuba,03,Rusizi,0306,Bugarama,030601,Nyange,03060101,Nyange,0306010111
Iburengerazuba,03,Rusizi,0306,Bugarama,030601,Nyange,03060101,Rubumba,0306010112
Iburengerazuba,03,Rusizi,0306,Bugarama,030601,Nyange,03060101,Rusayo,0306010113
Iburengerazuba,03,Rusizi,0306,Bugarama,030601,Pera,03060102,Buhanga,0306010201
